Mass DM,SSHH,omega,SI 1,SI 2
686.0,0.1,0.128,1.309e-09,7.472e-10
688.0,0.1,0.129,1.305e-09,7.429e-10
690.0,0.1,0.13,1.302e-09,7.386e-10
692.0,0.1,0.13,1.298e-09,7.343e-10
694.0,0.1,0.131,1.294e-09,7.301e-10
696.0,0.1,0.132,1.290e-09,7.259e-10
698.0,0.11,0.111,1.415e-09,8.734e-10
700.0,0.11,0.111,1.411e-09,8.684e-10
702.0,0.11,0.11199999999999999,1.407e-09,8.635e-10
704.0,0.11,0.11199999999999999,1.403e-09,8.586e-10
706.0,0.11,0.113,1.399e-09,8.537e-10
708.0,0.11,0.114,1.395e-09,8.489e-10
710.0,0.11,0.114,1.391e-09,8.441e-10
712.0,0.11,0.115,1.388e-09,8.394e-10
714.0,0.11,0.11599999999999999,1.384e-09,8.347e-10
716.0,0.11,0.11599999999999999,1.380e-09,8.301e-10
718.0,0.11,0.11699999999999999,1.376e-09,8.255e-10
720.0,0.11,0.11800000000000001,1.372e-09,8.209e-10
722.0,0.11,0.11800000000000001,1.368e-09,8.163e-10
724.0,0.11,0.11900000000000001,1.365e-09,8.118e-10
726.0,0.11,0.11900000000000001,1.361e-09,8.074e-10
728.0,0.11,0.12,1.357e-09,8.030e-10
730.0,0.11,0.121,1.353e-09,7.986e-10
732.0,0.11,0.121,1.350e-09,7.942e-10
734.0,0.11,0.122,1.346e-09,7.899e-10
736.0,0.11,0.12300000000000001,1.342e-09,7.856e-10
738.0,0.11,0.12300000000000001,1.339e-09,7.814e-10
740.0,0.11,0.124,1.335e-09,7.772e-10
742.0,0.11,0.125,1.331e-09,7.730e-10
744.0,0.11,0.125,1.328e-09,7.688e-10
746.0,0.11,0.126,1.324e-09,7.647e-10
748.0,0.11,0.127,1.321e-09,7.607e-10
750.0,0.11,0.127,1.317e-09,7.566e-10
752.0,0.11,0.128,1.314e-09,7.526e-10
754.0,0.11,0.128,1.310e-09,7.486e-10
756.0,0.11,0.129,1.307e-09,7.447e-10
758.0,0.11,0.13,1.303e-09,7.407e-10
760.0,0.11,0.13,1.300e-09,7.368e-10
762.0,0.11,0.131,1.297e-09,7.330e-10
764.0,0.11,0.132,1.293e-09,7.292e-10
766.0,0.11,0.132,1.290e-09,7.254e-10
768.0,0.12,0.113,1.403e-09,8.588e-10
770.0,0.12,0.113,1.400e-09,8.543e-10
772.0,0.12,0.114,1.396e-09,8.499e-10
774.0,0.12,0.115,1.392e-09,8.455e-10
776.0,0.12,0.115,1.389e-09,8.412e-10
778.0,0.12,0.11599999999999999,1.385e-09,8.369e-10
780.0,0.12,0.11599999999999999,1.382e-09,8.326e-10
782.0,0.12,0.11699999999999999,1.378e-09,8.283e-10
784.0,0.12,0.11699999999999999,1.375e-09,8.241e-10
786.0,0.12,0.11800000000000001,1.371e-09,8.199e-10
788.0,0.12,0.11900000000000001,1.368e-09,8.158e-10
790.0,0.12,0.11900000000000001,1.364e-09,8.117e-10
792.0,0.12,0.12,1.361e-09,8.076e-10
794.0,0.12,0.12,1.357e-09,8.035e-10
796.0,0.12,0.121,1.354e-09,7.995e-10
798.0,0.12,0.121,1.351e-09,7.955e-10
800.0,0.12,0.122,1.347e-09,7.915e-10
802.0,0.12,0.12300000000000001,1.344e-09,7.876e-10
804.0,0.12,0.12300000000000001,1.340e-09,7.837e-10
806.0,0.12,0.124,1.337e-09,7.798e-10
808.0,0.12,0.124,1.334e-09,7.759e-10
810.0,0.12,0.125,1.331e-09,7.721e-10
812.0,0.12,0.126,1.327e-09,7.683e-10
814.0,0.12,0.126,1.324e-09,7.645e-10
816.0,0.12,0.127,1.321e-09,7.608e-10
818.0,0.12,0.127,1.318e-09,7.571e-10
820.0,0.12,0.128,1.314e-09,7.534e-10
822.0,0.12,0.129,1.311e-09,7.498e-10
824.0,0.12,0.129,1.308e-09,7.461e-10
826.0,0.12,0.13,1.305e-09,7.425e-10
828.0,0.12,0.13,1.302e-09,7.389e-10
830.0,0.12,0.131,1.299e-09,7.354e-10
832.0,0.12,0.132,1.295e-09,7.319e-10
834.0,0.12,0.132,1.292e-09,7.284e-10
836.0,0.13,0.114,1.397e-09,8.507e-10
